city,country,pop2023
Tokyo,Japan,37194104
Delhi,India,32941308
Shanghai,China,29210808
Dhaka,Bangladesh,23209616
Sao Paulo,Brazil,22619736
Mexico City,Mexico,22281442
Cairo,Egypt,22183200
Beijing,China,21766214
Mumbai,India,21296516
Osaka,Japan,19013434
Chongqing,China,17340704
Karachi,Pakistan,17236230
Kinshasa,DR Congo,16315534
Lagos,Nigeria,15945912
Istanbul,Turkey,15847768
Buenos Aires,Argentina,15490415
Kolkata,India,15332793
Manila,Philippines,14667089
Guangzhou,China,14284353
Tianjin,China,14238643
Lahore,Pakistan,13979390
Rio de Janeiro,Brazil,13727720
Bangalore,India,13607800
Shenzhen,China,13072633
Moscow,Russia,12680389
Chennai,India,11776147
Bogota,Colombia,11507960
Jakarta,Indonesia,11248839
Paris,France,11208440
Lima,Peru,11204382
Bangkok,Thailand,11069982
Hyderabad,India,10801163
Seoul,South Korea,9988049
Nanjing,China,9698464
Chengdu,China,9653772
London,United Kingdom,9648110
Nagoya,Japan,9569328
Tehran,Iran,9499781
Ho Chi Minh City,Vietnam,9320866
Luanda,Angola,9292336
